stand,month,day,year,tree_tag,age,height_cm,basal_diameter_mm,notes
1,5,17,1985,498,NA,24,13,NA
1,5,17,1985,600,NA,12,5,NA
1,5,17,1985,601,NA,25,14,NA
1,5,17,1985,602,NA,15,3,NA
1,5,17,1985,604,NA,12,2,NA
1,5,17,1985,606,NA,3,2,NA
1,5,17,1985,607,NA,4,7,NA
1,5,17,1985,608,NA,16,9,NA
1,5,17,1985,609,NA,26,18,NA
1,5,17,1985,610,NA,11.5,5.5,NA
1,5,17,1985,611,NA,33,8,NA
1,5,17,1985,612,NA,7,4,NA
1,5,17,1985,613,NA,26,6,NA
1,5,17,1985,614,NA,15,3,NA
1,5,17,1985,619,NA,14,2,NA
1,5,17,1985,620,NA,13,2,NA
1,5,17,1985,621,NA,23,3,NA
1,5,17,1985,622,NA,12,3,NA
1,5,17,1985,628,NA,5,2.5,NA
1,5,17,1985,631,NA,13,3,NA
1,5,17,1985,632,NA,10,2,NA
1,5,17,1985,634,NA,13,133,NA
1,5,17,1985,636,NA,9,3,NA
1,5,17,1985,637,NA,6,2,NA
1,5,17,1985,638,NA,8,3,NA
1,5,17,1985,639,NA,13,12,NA
1,5,17,1985,644,NA,51,10,NA
1,5,17,1985,647,NA,14,4,NA
